study_doc_id,record_type,document_status,document_hash_sha256,register_row_hash_sha256,format,text_extraction,annex,rule_id,annex_item,finding_type,confidence,page_or_section,missing_element,matched_text,human_review_status,human_review_note,exclusion_reason,warnings
WP-002,finding,included,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,7866a48621186486190cfa79ab10612ef0e8ca80b2c47ffa5ffff814c3e722a5,html,ok,Annex I,ANNEX_I_PART_A_10_FINANCIAL_CONDITION,"Annex I, Part A, item 10",potential_disclosure_gap,medium,Financial condition,financial condition disclosure,,pending_review,Pending Sebastian legal review.,,
WP-002,finding,included,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,7866a48621186486190cfa79ab10612ef0e8ca80b2c47ffa5ffff814c3e722a5,html,ok,Annex I,ANNEX_I_PART_D_03_IMPLEMENTATION_PERSONS,"Annex I, Part D, item 3",potential_disclosure_gap,high,Design and development,natural or legal persons involved in implementation of the crypto-asset project,"ken sale rounds. Funds are held in multi-signature wallets and allocated as follows: 35% Product and Protocol Development, 35% Liquidity and Market-Making, 30% Operations, Legal, and Compliance. The company has no outstanding debt",pending_review,Pending Sebastian legal review.,,
WP-003,finding,included,9b33a5d568cd54ccf4071fefe52127b001192298e57e2fed5a208a2b374947eb,d5b9ea7a469821403b8f6f23b6a72f5f30d6d64de6bf94bdff37dcad0831f29c,xhtml,ok,Annex I,ANNEX_I_PART_A_06_CONTACT_PHONE_EMAIL,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,both contact telephone number and email address,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.,,
WP-003,finding,included,9b33a5d568cd54ccf4071fefe52127b001192298e57e2fed5a208a2b374947eb,d5b9ea7a469821403b8f6f23b6a72f5f30d6d64de6bf94bdff37dcad0831f29c,xhtml,ok,Annex I,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,period of days within which an investor will receive an answer,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.,,
WP-004,finding,included,07456475e29c05cbeb5b27a99fa6b66f0278f2e43eadf4ad5946c39f342f1aa6,a25d8bf4c4e22b60e869b37ea2a047898bd2acf99336d5814a69c7504ab4b460,xhtml,ok,Annex I,ANNEX_I_PART_A_06_CONTACT_PHONE_EMAIL,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,both contact telephone number and email address,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.,,
WP-004,finding,included,07456475e29c05cbeb5b27a99fa6b66f0278f2e43eadf4ad5946c39f342f1aa6,a25d8bf4c4e22b60e869b37ea2a047898bd2acf99336d5814a69c7504ab4b460,xhtml,ok,Annex I,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,period of days within which an investor will receive an answer,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.,,
WP-005,finding,included,064121584d596e1f5143ad230efb838b68e7109c77811f2c143330affb6f161b,f441b509a276ddd96bfff18c3e5513b218ae9706e3e7a1765f4f16e08fa3fd16,xhtml,ok,Annex I,ANNEX_I_PART_A_06_CONTACT_PHONE_EMAIL,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,both contact telephone number and email address,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.,,
WP-005,finding,included,064121584d596e1f5143ad230efb838b68e7109c77811f2c143330affb6f161b,f441b509a276ddd96bfff18c3e5513b218ae9706e3e7a1765f4f16e08fa3fd16,xhtml,ok,Annex I,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,period of days within which an investor will receive an answer,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ANNEX_I_PART_A_03_REGISTERED_ADDRESS,"Annex I, Part A, item 3",potential_disclosure_gap,medium,Offeror information,registered address or head office,,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ANNEX_I_PART_A_04_REGISTRATION_DATE,"Annex I, Part A, item 4",potential_disclosure_gap,medium,Offeror information,"date of registration, incorporation, or establishment",,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ANNEX_I_PART_A_05_LEI_OR_IDENTIFIER,"Annex I, Part A, item 5",potential_disclosure_gap,medium,Offeror information,legal entity identifier or other identifier,,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,period of days within which an investor will receive an answer,n. 583KB [PHONE]_[CRYPTO_ASSET]_Whitepaper_ATTR_V1_PDF.pdf PDF Download Open [ISSUER] Finance | MiCAR Whitepaper Contact [EMAIL] Scope Admission to trading only; no public offer. Key Risks The crypto-asset may lose value in part or in ful,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ANNEX_I_PART_A_08_MANAGEMENT_BODY,"Annex I, Part A, item 8",potential_disclosure_gap,medium,Management body,identity and functions of the management body,,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ANNEX_I_PART_E_18_CONFLICTS_OF_INTEREST,"Annex I, Part E, item 18",potential_disclosure_gap,medium,Conflicts of interest,conflicts of interest disclosure,,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ANNEX_I_PART_A_10_FINANCIAL_CONDITION,"Annex I, Part A, item 10",potential_disclosure_gap,medium,Financial condition,financial condition disclosure,,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ANNEX_I_PART_F_02_CHARACTERISTICS_FUNCTIONALITY,"Annex I, Part F, item 2",potential_disclosure_gap,high,Utility and characteristics,characteristics or functionality of the crypto-asset,Markdown . Copy On this page LEGAL 📜 MiCAR Whitepaper [ISSUER]. has published and notified the MiCAR crypto-asset white paper for [SYMBOL] to its home Member State (MFSA). This crypto-asset marketing communication has not bee,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ARTICLE_6_05_MANDATORY_WARNINGS,Article 6,potential_disclosure_gap,medium,Mandatory warnings,loss-of-value and protection or compensation warning statements,,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ARTICLE_6_06_MANAGEMENT_BODY_STATEMENT,Article 6,potential_disclosure_gap,medium,Management body statement,"management body statement that the white paper complies and is fair, clear and not misleading",,pending_review,Pending Sebastian legal review.,,
WP-007,finding,included,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400,html,ok,Annex I,ARTICLE_6_07_SUMMARY,Article 6,potential_disclosure_gap,medium,Summary,summary of the crypto-asset white paper,,pending_review,Pending Sebastian legal review.,,
WP-011,finding,included,4317bc308de4570efea7afd30d48737aee38e3ab02a24841ad0dc045f6a5c1b2,7098f26c57113c24a81d00c8ef6a2beb89ec96309c8d564b9d0df8c68d61d79d,pdf,ok,Annex I,ANNEX_I_PART_E_18_CONFLICTS_OF_INTEREST,"Annex I, Part E, item 18",potential_disclosure_gap,medium,Conflicts of interest,conflicts of interest disclosure,,pending_review,Pending Sebastian legal review.,,
WP-012,finding,included,37b91e308c4ee168261e928f5ea519d3b8892fa9cb1965096638656ba95d6893,e487cebcc433de870a1b8eac975012d78deb83529559a9831b7bf1b1c2c70779,pdf,ok,Annex I,ANNEX_I_PART_E_18_CONFLICTS_OF_INTEREST,"Annex I, Part E, item 18",potential_disclosure_gap,medium,Conflicts of interest,conflicts of interest disclosure,,pending_review,Pending Sebastian legal review.,,
WP-006,exclusion,excluded,,b4c155900b3c511da53f8f4a46d0b9f85d0febf494d9b2b56b16addf5d6ecdfe,,,Annex I,,,,,,,,,,cached_document_not_found,
WP-008,exclusion,excluded,,647944be6f236de3d99bf2dac0f13cb316b240511d0f097ca2bb9724c1442d94,,,Annex I,,,,,,,,,,cached_document_not_found,
